library,exp,logN,q0,delta,depth,dnum,PCount,logP,maxDigitBits,level,path,rep,bits
openfhe,7,15,60,42,12,3,4,240,228,12,enc_dec,0,30.3182
openfhe,7,15,60,42,12,3,4,240,228,12,rot1,0,27.1094
openfhe,7,15,60,42,12,3,4,240,228,11,enc_dec,0,30.3318
openfhe,7,15,60,42,12,3,4,240,228,11,rot1,0,27.1080
openfhe,7,15,60,42,12,3,4,240,228,10,enc_dec,0,30.3364
openfhe,7,15,60,42,12,3,4,240,228,10,rot1,0,27.1049
openfhe,7,15,60,42,12,3,4,240,228,9,enc_dec,0,30.3118
openfhe,7,15,60,42,12,3,4,240,228,9,rot1,0,27.1032
openfhe,7,15,60,42,12,3,4,240,228,8,enc_dec,0,30.3145
openfhe,7,15,60,42,12,3,4,240,228,8,rot1,0,27.1270
openfhe,7,15,60,42,12,3,4,240,228,7,enc_dec,0,30.3223
openfhe,7,15,60,42,12,3,4,240,228,7,rot1,0,27.1028
openfhe,7,15,60,42,12,3,4,240,228,6,enc_dec,0,30.3141
openfhe,7,15,60,42,12,3,4,240,228,6,rot1,0,27.1055
openfhe,7,15,60,42,12,3,4,240,228,5,enc_dec,0,30.3231
openfhe,7,15,60,42,12,3,4,240,228,5,rot1,0,27.1081
openfhe,7,15,60,42,12,3,4,240,228,4,enc_dec,0,30.3040
openfhe,7,15,60,42,12,3,4,240,228,4,rot1,0,27.1173
openfhe,7,15,60,42,12,3,4,240,228,3,enc_dec,0,30.3067
openfhe,7,15,60,42,12,3,4,240,228,3,rot1,0,27.1137
openfhe,7,15,60,42,12,3,4,240,228,2,enc_dec,0,30.3222
openfhe,7,15,60,42,12,3,4,240,228,2,rot1,0,27.1138
openfhe,7,15,60,42,12,3,4,240,228,1,enc_dec,0,30.3240
openfhe,7,15,60,42,12,3,4,240,228,1,rot1,0,27.1123
openfhe,7,15,60,42,12,3,4,240,228,12,enc_dec,1,30.3224
openfhe,7,15,60,42,12,3,4,240,228,12,rot1,1,26.7518
openfhe,7,15,60,42,12,3,4,240,228,11,enc_dec,1,30.3175
openfhe,7,15,60,42,12,3,4,240,228,11,rot1,1,26.7649
openfhe,7,15,60,42,12,3,4,240,228,10,enc_dec,1,30.3191
openfhe,7,15,60,42,12,3,4,240,228,10,rot1,1,26.7734
openfhe,7,15,60,42,12,3,4,240,228,9,enc_dec,1,30.3382
openfhe,7,15,60,42,12,3,4,240,228,9,rot1,1,26.7681
openfhe,7,15,60,42,12,3,4,240,228,8,enc_dec,1,30.3323
openfhe,7,15,60,42,12,3,4,240,228,8,rot1,1,26.7660
openfhe,7,15,60,42,12,3,4,240,228,7,enc_dec,1,30.3066
openfhe,7,15,60,42,12,3,4,240,228,7,rot1,1,26.7663
openfhe,7,15,60,42,12,3,4,240,228,6,enc_dec,1,30.3242
openfhe,7,15,60,42,12,3,4,240,228,6,rot1,1,26.7487
openfhe,7,15,60,42,12,3,4,240,228,5,enc_dec,1,30.3149
openfhe,7,15,60,42,12,3,4,240,228,5,rot1,1,26.7536
openfhe,7,15,60,42,12,3,4,240,228,4,enc_dec,1,30.3272
openfhe,7,15,60,42,12,3,4,240,228,4,rot1,1,26.7683
openfhe,7,15,60,42,12,3,4,240,228,3,enc_dec,1,30.3224
openfhe,7,15,60,42,12,3,4,240,228,3,rot1,1,26.7724
openfhe,7,15,60,42,12,3,4,240,228,2,enc_dec,1,30.3242
openfhe,7,15,60,42,12,3,4,240,228,2,rot1,1,26.7682
openfhe,7,15,60,42,12,3,4,240,228,1,enc_dec,1,30.3225
openfhe,7,15,60,42,12,3,4,240,228,1,rot1,1,26.7668
openfhe,7,15,60,42,12,3,4,240,228,12,enc_dec,2,30.3357
openfhe,7,15,60,42,12,3,4,240,228,12,rot1,2,27.2193
openfhe,7,15,60,42,12,3,4,240,228,11,enc_dec,2,30.3141
openfhe,7,15,60,42,12,3,4,240,228,11,rot1,2,27.2026
openfhe,7,15,60,42,12,3,4,240,228,10,enc_dec,2,30.3188
openfhe,7,15,60,42,12,3,4,240,228,10,rot1,2,27.2166
openfhe,7,15,60,42,12,3,4,240,228,9,enc_dec,2,30.3299
openfhe,7,15,60,42,12,3,4,240,228,9,rot1,2,27.2248
openfhe,7,15,60,42,12,3,4,240,228,8,enc_dec,2,30.3175
openfhe,7,15,60,42,12,3,4,240,228,8,rot1,2,27.2069
openfhe,7,15,60,42,12,3,4,240,228,7,enc_dec,2,30.3133
openfhe,7,15,60,42,12,3,4,240,228,7,rot1,2,27.2047
openfhe,7,15,60,42,12,3,4,240,228,6,enc_dec,2,30.3287
