library,exp,logN,q0,delta,depth,dnum,PCount,logP,logQ,logQP,bound,margin,maxLevel,level,op,mean_us,std_us,reps,digits,ok,err
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,12,add_cc,646.620,11.967,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,12,add_cp,536.968,9.730,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,12,mul_cp,1290.984,58.026,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,12,mul_cc,2813.693,30.181,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,12,mul_cc_rlk,55975.083,1163.467,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,12,relin,50245.494,512.044,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,12,rescale,8817.774,19.370,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,12,rot1,50273.066,806.543,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,11,add_cc,666.435,14.875,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,11,add_cp,536.429,17.095,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,11,mul_cp,1216.489,81.869,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,11,mul_cc,2580.175,34.122,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,11,mul_cc_rlk,51515.032,758.308,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,11,relin,47319.815,518.532,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,11,rescale,8252.312,250.806,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,11,rot1,47513.906,842.498,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,10,add_cc,608.042,10.373,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,10,add_cp,460.397,15.939,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,10,mul_cp,1077.257,16.109,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,10,mul_cc,2390.860,41.879,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,10,mul_cc_rlk,50985.309,393.242,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,10,relin,45820.565,325.305,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,10,rescale,7545.699,146.942,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,10,rot1,45682.891,167.359,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,9,add_cc,561.298,7.932,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,9,add_cp,448.918,44.873,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,9,mul_cp,1001.800,55.085,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,9,mul_cc,2162.376,24.214,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,9,mul_cc_rlk,36499.467,373.371,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,9,relin,32851.783,250.468,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,9,rescale,6806.706,40.782,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,9,rot1,32731.465,314.009,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,8,add_cc,495.737,6.245,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,8,add_cp,392.714,9.088,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
lattigo,5,15,60,42,12,3,5,300,564,864,881,17,12,8,mul_cp,1068.112,17.936,30,L12=3;L11=3;L10=3;L9=2;L8=2;L7=2;L6=2;L5=2;L4=1;L3=1;L2=1;L1=1,1,
